substance_name,approval_countries
Bioallethrin,"ARE, ARG, AUS, BEL, CAN, CHE, DEU, EGY, EST, FRA, GBR, ISR, JOR, JPN, LBN, LUX, LVA, MAR, NLD, PRT, SAU, TUN, ZAF"
Armodafinil,"ARG, AUS, BGD, CHL, COL, EGY, IND, KOR, MEX, PRI, TUR, UKR, USA"
Convallaria majalis,"AUT, BLR, CHE, DEU, LUX, LVA, POL, PRI, RUS, TWN, UKR, USA"
Uridine diphosphate glucose,ESP
Delphinium denudatum,
Boswellia serrata,"ARE, AUS, BEL, BGR, BIH, CAN, COL, CZE, DEU, ECU, EGY, EST, HRV, IDN, IND, IRN, ITA, JOR, LBN, LTU, LVA, MYS, NOR, NZL, PHL, POL, PRI, ROM, SGP, TUR, USA, ZAF"
Panax ginseng tincture,"DEU, EST, LVA"
Garcinia gummi-gutta,"ARE, ARG, AUS, BRA, CAN, CHL, COD, DEU, DOM, EGY, ESP, EST, HRV, IDN, IND, IRN, JOR, KWT, LBN, LTU, LVA, MEX, MYS, NZL, SGP, THA, TUR, URY, USA, ZAF, ZMB"
"Phospholipidfraction, bovine lung",PER
Sulfamerazine,"ARE, AUS, BEL, BGR, CAN, DEU, DNK, DOM, ESP, FIN, GBR, IDN, JPN, NLD, NOR, PRI, SGP, SWE, THA, USA, ZAF"
Ancestim,"AUS, CAN"
Guggulsterone,"SVK, USA, ZAF"
Ciprofloxacin,"ARE, ARG, ARM, AUT, BEL, BFA, BGD, BOL, BRA, BWA, CAN, CHE, CHN, CIV, COD, COL, CYP, DEU, DNK, DOM, ECU, EGY, ESP, ETH, FRA, GBR, GHA, HKG, HUN, IDN, IND, IRL, IRQ, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, MAR, MEX, MYS, NGA, NLD, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SDN, SLE, SRB, SWE, TGO, THA, TUN, TUR, TWN, TZA, UGA, UKR, USA, VEN, VNM, YUG, ZMB, ZWE"
Chlorpromazine embonate,"DNK, ECU, FIN, FRA, GBR, IRL, NOR, SWE"
Colchicum autumnale flower,USA
Eriosema spp.,
Artemisia vulgaris root,
Nomifensine maleate,"ARE, DEU, DNK, FIN, GBR, ITA"
Picramnia antidesma,
Botulinum toxin nos,
Demeclocycline calcium,"AUT, DEU"
Pipethanate,
Theophylline lysine,
Eledoisin trifluoroacetate,ESP
Doryanthes excelsa,DEU
Diosmetin,"ITA, SGP"
Voxelotor,USA
Trachyspermum ammi seed essential oil,
Prenylamine acefyllinate,ESP
Sumanirole,
Fraxinus americana,"DEU, ISR"
Pravastatin,"FIN, GBR, HRV, ITA, MAR, SWE"
Bexarotene,"ARG, AUT, BEL, CHL, DEU, ESP, FIN, FRA, GBR, GRC, HUN, IRL, ITA, JPN, NLD, NOR, POL, PRI, PRT, SVK, SVN, SWE, TUR, USA"
Geissospermum laeve,"CHE, DEU"
Theophylline calcium salicylate,USA
Octylatropine bromide,"FRA, PRT"
Eleutherococcus senticosus root with rhizome,"AUS, CHN, MYS, RUS"
Tenofovir,"BFA, ETH, RUS, UGA, ZMB, ZWE"
Levorphanol tartrate,"CAN, GBR, JPN, POL, PRI, USA"
Epothilone A,
Reserpiline,"LTU, LVA, TWN"
Pibrozelesin hydrobromide,
Thymus zygis herb,"LVA, SVK"
Ipomoea cairica,VNM
Conioselinum tenuissimum,
Fagus sylvatica tincture,DEU
Luminespib,
Sulbactam,"ARG, BFA, CHN, CIV, COD, ECU, ETH, GEO, IND, ITA, KOR, LTU, PAK, PER, ROM, RUS, THA, TUR, UGA, UKR, URY, VNM, YUG"
Piper longum fruit,"ARM, AUS, BLR, CHE, CHN, GEO, IND, KAZ, KGZ, LTU, LVA, MDA, MNG, MYS, NZL, PAK, PHL, RUS, TJK, TKM, UKR, USA, UZB"
Iron,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CUB, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Triprolidine hydrochloride monohydrate,"KOR, ZAF"
Baicalin,CHN
Technetium (99mTc) tin colloid,"FRA, JPN"
Picea mariana cone,
Litchi chinensis seed,CHN
Ethylnorepinephrine,
Aconitum heterophyllum,IND
Panax bipinnatifidus,
Epirubicin hydrochloride,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, USA, VNM, ZAF, ZMB"
Zolpidem,"CHN, IND, ISR, SRB, SWE"
Chrysanthemum spp. flower,"CHE, CHN, JPN, KOR"
Dendranthema morifolium,
Nafcillin sodium monohydrate,
Gestonorone caproate,"BEL, BGR, BLR, COL, ECU, ESP, EST, FIN, FRA, GBR, ISR, ITA, JPN, LTU, LVA, MEX, PAK, POL, ROM, RUS, SAU, UKR, URY"
Menyanthes trifoliata leaf,"CHE, DEU, JOR, POL"
Populus sieboldii,JPN
Sulfametoxydiazine,"AUS, CAN, CHN, CZE, DEU, FIN, GBR, HUN, IRL, KOR, LTU, LVA, NOR, POL, ROM, SWE, YUG"
Benazepril hydrochloride,"ARE, ARG, BEL, BGD, BGR, BRA, CAN, CHE, CHN, COL, DEU, DNK, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LTU, LUX, LVA, MAR, MEX, NLD, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SWE, THA, TUR, TWN, URY, USA, VEN, ZAF"
Oryza sativa bran,USA
Thenalidine,
Rhus chinensis stem bark,
Paeonia lactiflora powder,JPN
Rhenium-188,
