substance_name,approval_countries
Eptacog alfa pegol (activated),
Bis(choline) tetrathiomolybdate,
Cordyceps spp. mycelium,USA
Centanafadine,
Benralizumab,"ARE, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CZE, DEU, ESP, EST, FIN, FRA, GBR, HKG, HRV, IRL, ITA, JPN, KOR, KWT, LTU, LVA, NLD, NOR, POL, PRI, PRT, RUS, SAU, SVN, SWE, TWN, USA"
Agathosma betulina,"AUS, BWA, CAN, MEX, NZL, RUS, SRB, USA, ZAF"
Roxatidine acetate hydrochloride,"BGD, DEU, EGY, ESP, GRC, IDN, IND, ITA, JPN, KOR, LBN, NLD, PAK, RUS, SWE, THA, TWN"
Zinc pyridine-3-carboxylate,ARG
Ergotamine,"BLR, CHN, DEU, DNK, DOM, ESP, LVA, NOR, PAK, RUS, UKR, URY, USA"
Stannic sulfide,RUS
Spartalizumab,
Saponin,"CHN, CZE, DEU, KOR, NLD, POL, SVK, USA"
Artemisia lactiflora,
Dimemorfan phosphate,"ESP, FIN, ITA, JPN, KOR, PAK, TWN"
Lagerstroemia indica stem bark,
Otilonium bromide,"ARE, ARG, BEL, BFA, BRA, CHL, CHN, CIV, COD, COL, CZE, DOM, ECU, EGY, ESP, EST, GRC, HKG, HRV, HUN, IDN, IND, ITA, JOR, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, PAK, PER, PHL, PRT, RUS, SVK, TUN, TUR, TWN, UGA"
Influenza A(H5N1) vaccine live reassort,
Ombrabulin,
Rosa x centifolia root,
Obicetrapib,
Iprofenin,
Abies sibirica,LVA
Glyconiazide sodium,
Teucrium marum herb,
Citrus aurantium submature fruit,CHN
Levormeloxifene,
Ilex aquifolium leaf extract,DEU
Pulmonaria officinalis extract,CHE
Ziziphus jujuba seed,"AUS, CHN, DEU, NZL, USA"
Tasidotin,
Consolida regalis leaf juice,
Fraxinus ornus bark,
Ferric Carboxymaltose,"ARE, ARG, AUS, AUT, BGD, BGR, BRA, CHE, CHL, COL, CZE, DEU, DOM, ECU, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IND, IRL, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MAR, MEX, NLD, NOR, NZL, PAK, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SWE, TUR, URY, USA, ZAF"
Plantago lanceolata,"ARE, AUT, CHE, CZE, DEU, EST, FRA, HUN, ITA, KWT, LTU, LUX, LVA, NZL, POL, RUS, SGP, SVK, UKR, ZAF"
Hypericum japonicum,
Dextran 60,"DEU, FRA, HUN, RUS, SWE, VNM"
Sinomenium acutum rhizome,"JPN, KOR"
IMGN 388,
Melissa officinalis dry leaf,"AUS, GBR"
Androstenediol,"JPN, KOR, THA"
Relacorilant,
Achillea alpina root,
Pancreatin,"ARE, ARG, ARM, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, GTM, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, YUG, ZAF, ZMB"
Thialbarbital sodium,NLD
Enicostema littorale,IND
Ginseng nos,"ARE, ARG, ARM, AUS, AUT, BFA, BRA, BWA, CHE, CHN, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FRA, IDN, IND, ISR, ITA, JOR, JPN, KOR, LBN, LVA, MAR, NLD, NOR, PAK, PER, PHL, POL, RUS, SAU, SGP, SWE, THA, UGA, URY, USA, VNM, ZAF, ZMB"
Avanafil,"AUS, AUT, BEL, BGR, CHE, COL, CZE, DEU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IRL, ITA, KOR, LTU, LUX, LVA, NLD, NOR, POL, PRI, PRT, SVK, SVN, SWE, USA"
Albiglutide,"BEL, ESP, FRA, GBR, IRL, ITA, LUX, USA"
Decamethoxin ion,"KGZ, MDA, RUS, UGA, UKR"
NSC 601316,
Quinine bisulfate,"AUS, FRA, GBR, HKG, NLD, PAK, ZMB"
Eupatorium perfoliatum tincture,DEU
Bendazol hydrochloride,"BGR, BLR, CHN, EST, KGZ, LTU, LVA, RUS, UKR"
Mussaenda pubescens root with stem,CHN
Podophyllotoxin,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHL, CHN, CZE, DEU, DNK, DOM, ECU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IND, IRL, ISR, ITA, JOR, KWT, LBN, LTU, LVA, MAR, MEX, NLD, NOR, NZL, PAK, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SLV, SVK, SVN, SWE, TWN, UKR, URY, USA, ZAF"
Technetium (99mtc)-n-pyridoxyl-5-methyltrp,
Salvia trijuga,
Pentopril,
Benzfetamine hydrochloride,"PRI, USA"
Immunoglobulin anti-clostridium botuli tox G,"TWN, USA"
CWP 232291,
Taraxacum officinale,"ARG, AUS, AUT, BGR, BLR, CAN, CHE, CHL, COD, CZE, DEU, DNK, EGY, ESP, EST, FRA, GBR, IDN, IRN, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, RUS, SGP, SVK, SVN, SWE, TUR, UKR, USA, VEN, ZAF"
Sodium stibogluconate,"ARE, EST, GBR, HRV, IND, ISR, JOR, PER, POL, SAU, SVN"
Quinidine sulfate dihydrate,GBR
Tanomastat,
Ambucetamide hydrochloride,"BEL, DEU"
TAK 285,
Dioscorea nipponica,"CHN, NLD"
Pipamazine,
Setaria italica seed,
Azithromycin fumarate,
Chenopodium quinoa sprout,DEU
Clocapramine hydrochloride,JPN
Pterocephalus hookeri herb,
Styramate,"FIN, GBR"
Hibiscus mutabilis,
Bacteria lysate nos,"BGR, CZE, EGY, FRA, ITA, KOR, TUR"
Eupatorium japonicum,
Foeniculum vulgare fruit,"ARE, ARG, AUS, BLR, CHE, CHN, CZE, DEU, EGY, ESP, EST, FRA, GBR, IND, IRN, ITA, JPN, KOR, LTU, LVA, MYS, POL, RUS, SAU, SGP, UKR, USA"
Remtolumab,
Melaleuca spp. oil,"BEL, BRA, CHE, EST, MYS, PER, PRT, USA"
Flavine adenine dinucleotide,"JPN, KOR, PHL, TWN, USA"
Vascular Endothelial Growth Inhibitor,
Schizonepeta tenuifolia herb essential oil,CHN
Cyclomethicone 5,"FRA, GBR, IRL, LTU, LVA, TWN"
Ruta graveolens herb,
Molsidomine,"ARG, AUT, BEL, BGR, BLR, CHE, CHN, CIV, CZE, DEU, ESP, EST, FRA, HRV, HUN, ITA, JPN, KOR, LBN, LTU, LUX, LVA, MAR, NLD, NOR, POL, RUS, SVK, SVN, TUN, UKR, URY, YUG"
Nuphar japonica,
Silybum marianum fruit,"AUS, AUT, BGR, CAN, CHE, COD, CZE, DEU, ESP, EST, HRV, HUN, KOR, LTU, LUX, LVA, MEX, MYS, NLD, NZL, PAK, PHL, POL, ROM, RUS, SGP, SVK, SVN, TUR, TWN, UKR, USA, ZAF"
Kalmia latifolia leaf,
Physalis alkekengi var. franchetii calyx,CHN
Creatine,"ARE, ARG, AUS, BGR, BRA, CAN, DEU, DOM, EST, ITA, JOR, LBN, LTU, LVA, NZL, PRI, TUR, URY, USA, VEN, ZAF"
Ledipasvir,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, CIV, COD, COL, CZE, DEU, EGY, ESP, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IND, IRL, ITA, JPN, KGZ, KOR, KWT, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, ROM, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, USA"
Sulfaperin,"DEU, DNK, ESP, FIN"
Pinus palustris,
Ardeparin,
Diiodohydroxyquinoline,"ARE, AUS, BRA, BWA, CAN, CHL, COL, DOM, ECU, EGY, EST, FIN, FRA, GBR, HKG, IDN, IND, ISR, LBN, MEX, NOR, PAK, PRI, SWE, THA, TUR, UGA, USA, VEN, ZAF"
Homatropine hydrochloride,"BEL, ESP"
Crataegus spp.,"ARM, AUS, BGR, BLR, CAN, CHE, DEU, EGY, EST, FRA, HKG, IRN, ISR, ITA, JOR, JPN, KGZ, KOR, LBN, LTU, LUX, LVA, PHL, POL, PRI, ROM, RUS, SAU, TUN, TUR, TWN, UKR, USA, ZAF"
Zinc valerate dihydrate,PRT
Picea mariana resin,SWE
"Corticotrophin injection, repository","CAN, GBR, JPN, USA"
Duloxetine,EGY
Menadiol sodium sulfate,ITA
Safinamide,
Streptococcus thermophilus,"ARE, AUS, AUT, BEL, BGR, CAN, CHN, COD, COL, CZE, DEU, ESP, EST, FRA, GRC, HRV, HUN, IDN, IND, IRN, ITA, JOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NOR, PAK, PER, PHL, POL, PRI, ROM, RUS, SGP, SVN, SWE, THA, TUR, TWN, UKR, URY, USA, ZAF, ZMB"
Lavandula spp. oil,"AUS, CHE, DEU, EST, HRV, LVA, RUS, THA, ZAF"
Pilocarpine borate,DEU
Sulfisomidine,"ARE, DEU, IDN, JPN, NLD, NOR, SWE, THA, TWN, YUG, ZAF"
Deoxyribonucleic acid,"CZE, FIN, FRA, IND, KOR, KWT, LBN, POL, RUS, SGP, USA"
Gynochthodes officinalis extract,IDN
USL 311,
Cefotiam,"CHN, VNM"
Selenium oxide,"CIV, COD, FRA, IND, LBN, PHL, ZAF, ZMB"
Pleconaril,
Deslorelin,
Rhododendron ponticum herb,
Pertuzumab,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IRL, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, UKR, URY, USA"
Senna alexandrina fruit powder,CHE
Pyrovalerone hydrochloride,FRA
Boron aspartate,USA
Infliximab,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IND, IRL, ISL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF, ZMB"
Nonivamide,"ARE, ARG, AUS, AUT, BGR, BLR, CAN, CHE, CZE, DEU, EGY, ESP, EST, FIN, GBR, HKG, IDN, JPN, KOR, LTU, LUX, LVA, MYS, NZL, PHL, POL, PRT, ROM, RUS, SGP, SWE, TWN, UKR"
Nickel tartrate,FRA
Tiquilia paronychioides,
Oxogluric acid,"PRI, TUR, USA"
Lifibrol,
Onosma bracteata,"ARM, IND, PAK, SGP, UKR, ZAF"
Viola odorata flower,
Politef,
Phyllolobium chinense seed,CHN
Sodium p-chlorobenzoate,HUN
Pivsulbactam,"ARG, BRA, CHN, COL, IND, KOR, RUS, THA, UKR, URY"
Rosa chinensis,
Pterocarpus marsupium,"IND, MYS, USA"
Euterpe oleracea leaf,
Prazosin,"DNK, IND, ZWE"
Crataegus sanguinea,"LVA, RUS"
Chondroitin sulfate calcium,USA
AZD 5904,
Sparteine sulfate,"BRA, CAN, CZE, DEU, FRA, ISR, JPN, KOR, LTU, LVA, TWN"
Silybum marianum dry extract,CHE
Equilin sulfate sodium,"AUT, CAN"
Astragalus propinquus extract,
Carbon monoxide,
Phenyltoloxamine citrate,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, CAN, CHL, COL, DEU, DOM, ECU, EGY, EST, FRA, GBR, HKG, IDN, IRL, JPN, LTU, LUX, PAK, PHL, PRI, RUS, THA, TUN, TWN, UKR, URY, USA, VEN, ZAF"
Isoetarine hydrochloride,"AUT, DOM, FIN, GBR, IRL, PRI, USA"
Cypripedium parviflorum var.pubescens,"BGR, CHE, DEU, LUX, PRT, RUS"
Haronga madagascariensis,"CHE, COD, DEU"
Beta vulgaris seed,
Methylsamidorphan chloride,
Efinaconazole,"ARG, CAN, JPN, KOR, PRI, TWN, USA"
Ciprofloxacin hydrochloride,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KAZ, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NGA, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, PRY, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Origanum majorana oil,"AUS, LTU, LVA, NLD, POL"
Cinchona spp. bark,ZAF
Cinnamomum cassia,"AUS, BGR, BRA, CHN, DEU, ESP, EST, GBR, IND, ITA, JOR, JPN, KOR, LVA, MYS, NZL, PAK, POL, SGP, TUR, USA, ZAF"
Murraya spp. leaf,CHN
Antelaea azadirachta,
Glycopyrronium,"KOR, MYS, PRI, USA"
Heparin magnesium,"FRA, TUN, TWN"
Rheum spp.,"ARG, AUS, BFA, BGD, BGR, BRA, BWA, CAN, CHE, CHN, COD, COL, DEU, DOM, ECU, ESP, FIN, GBR, HKG, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, MEX, NLD, NZL, PER, PHL, SAU, SGP, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Aripiprazole lauroxil,"PRI, USA"
Withania coagulans extract,AUS
Microchloropsis gaditana,CAN
Parnaparin,
CVA 21,
Lactitol,"ARE, AUT, BEL, BGD, BGR, BRA, CHE, CHN, CZE, DEU, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HUN, IND, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LUX, NLD, NOR, NZL, PAK, PER, PHL, POL, PRT, RUS, SAU, SVK, SVN, SWE, THA, TUR, TWN"
Bendamustine hydrochloride,"ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Methyprylon,"DEU, GBR, JPN, SWE, TUR"
Cicer arietinum,"DEU, IND, IRN, SGP"
Nolatrexed,USA
Deferoxamine mesilate,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Enfenamic acid,KOR
Ephedra distachya extract,"DEU, JPN, KOR"
Flunarizine betadex,"IND, UGA"
Hydroxybenzoates nos,
Carbetocin,"ARE, ARG, AUS, AUT, BEL, BGD, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HUN, IRL, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, ZAF"
Telavancin hydrochloride,"CAN, DEU, GBR, ROM, RUS, USA"
AZD 4992,
Sea water,"ARE, AUS, AUT, BFA, BGR, BRA, CAN, CHE, CHL, CIV, COD, COL, DEU, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HRV, IDN, IND, IRL, ISR, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NZL, PER, PHL, POL, PRI, RUS, SAU, SGP, SVN, THA, TUN, TUR, UKR, USA, ZAF"
Sildenafil citrate,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MLT, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
TTI 622,
Urtica dioica root,"AUS, AUT, BEL, BGR, CHE, CZE, DEU, EGY, FRA, GBR, HUN, JOR, KOR, KWT, LTU, LVA, MYS, NZL, POL, TUR, USA, VEN, ZAF"
Aristolochia manshuriensis stem,CHN
Ordopidine,
Chloroquine monophosphate,
Mepyramine tannate,"ARG, CHL, ESP, FIN, GBR, PER, PRI, USA"
JX 929,
Manganese phosphate dibasic,FRA
Lobeline,"AUS, CHN"
Desmopressin acetate,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Obinutuzumab,"ARE, ARG, AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IRL, ITA, JPN, KOR, KWT, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, USA"
Euphorbia hirta extract,"AUS, DEU, HKG"
Biropepimut s,
Goat milk,"AUS, COD, IND, ZMB"
Lisavanbulin,
Dimethyl phthalate,"ARE, DEU, FRA, HKG, HUN, ISR, LBN, THA"
Taurolidine,"AUT, DEU, EGY, IRL, KOR, LTU, NLD, POL"
Silver gluconate,FRA
Mevalonic acid,ITA
Pulsatilla vulgaris extract,JPN
Ertapenem sodium,"ARE, ARG, AUS, AUT, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, ITA, JOR, KOR, LBN, LTU, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF"
Fragaria vesca subsp. californica,
Cadmium,
Etamiphyllin hydrochloride,"COL, DEU, DOM, ESP, ITA, KOR, LBN"
Lysimachia foenum-graecum herb,
Aloe ferox gum resin,ZAF
Benzhydrocodone,
Sulfadiazine,"ARE, ARG, AUS, AUT, BEL, BRA, CAN, CHE, CHL, CHN, COL, DEU, DNK, DOM, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IND, IRL, ITA, JOR, JPN, KOR, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, RUS, SAU, SGP, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Peginterferon beta-1a,"ARE, ARG, AUS, AUT, BEL, BGR, CAN, CHE, CHL, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HRV, HUN, IND, IRL, ITA, KOR, LBN, LTU, LUX, LVA, NLD, NOR, POL, PRI, PRT, RUS, SAU, SVK, SVN, SWE, USA, ZAF"
Swertia chirata extract,"ESP, PAK"
Deferiprone,"ARE, ARG, AUS, AUT, BGD, BGR, BRA, CAN, CHN, CZE, DEU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IND, IRL, ITA, JOR, KOR, LTU, LUX, LVA, MAR, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, ROM, SAU, SVK, SWE, THA, TUN, TUR, TWN, USA"
Glycine max extract,"ARE, ARG, AUS, BGR, BRA, CAN, CHE, CHL, CHN, COL, DEU, EGY, ESP, EST, GBR, HKG, IDN, IND, ITA, JOR, JPN, KWT, LBN, LTU, LVA, MEX, MYS, NOR, NZL, PER, PHL, POL, PRI, PRT, SAU, SGP, SVN, SWE, THA, TWN, URY, USA, VEN, ZAF, ZMB"
Saracatinib difumarate,
Dienogest,"ARE, ARG, ARM, AUS, AUT, BEL, BGD, BGR, BLR, BRA, CAN, CHE, CHL, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF, ZWE"
Berubicin hydrochloride,
Monochasma savatieri herb,CHN
Lesinurad,"AUT, BEL, CHE, ESP, FRA, ITA, LUX, NOR, PRI, PRT, SWE, USA"
Camphor,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NGA, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Mentha spp. herb,
Cuminum cyminum fruit,"FRA, IND, USA"
Sinapis alba oil,AUS
Egualen sodium,"JPN, KOR"
Vigna spp.,
Diproqualone,
Desmodium spp.,ESP
Propyromazine bromide,FRA
Piperidolate hydrochloride,"BRA, GBR, JPN, MEX, THA, TWN"
Acetophenazine maleate,"DNK, FIN, SWE"
Adonis vernalis fluid extract,FIN
Nintedanib,IND
Tyloxapol,"ARE, ARG, AUT, CZE, DEU, DOM, ESP, EST, FIN, FRA, IDN, JOR, JPN, LBN, LTU, LVA, NLD, NZL, PAK, PHL, POL, SGP, USA"
Protamine,
Niclosamide,"BEL, BRA, BWA, CHE, CIV, CZE, DEU, DOM, ECU, EGY, EST, FIN, FRA, GBR, GRC, HUN, IRL, ISR, ITA, JOR, KOR, LBN, LTU, LUX, LVA, MAR, MEX, NLD, PAK, PER, POL, PRT, RUS, SAU, SWE, THA, TUN, TUR, UGA, USA, ZAF, ZWE"
Valproate sodium,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Ilex hainanensis,
Lonazolac,
Rauvolfia vomitoria,
Febuprol,"ARG, CHN, COL, DEU, ECU, PRT"
Glucuronamide,"BEL, BFA, FRA, JPN, PRT, TWN"
Camazepam,"BEL, CHE, DEU, KOR"
Diospyros ebenum,
Chamaemelum nobile flower,"AUS, DEU, LVA, NZL, USA"
Donafenib mesilate,
Digoxin-specific antibody fragments,"AUS, AUT, BEL, CAN, CZE, DEU, EST, FRA, GBR, LTU, MYS, NOR, NZL, PRI, PRT, SGP, SVK, TWN, USA"
Dihydrocodeine resinate,"COL, DEU"
Dibekacin,BEL
Shark cartilage,"ARE, ARG, AUS, BGR, BRA, DEU, DOM, EGY, ESP, EST, IDN, JOR, JPN, KWT, LBN, LTU, LVA, MEX, MYS, NZL, PER, ROM, RUS, SGP, THA, TUR, TWN, URY, USA, VEN"
Pramiverine hydrochloride,"CHL, COL, DEU, DOM, ECU, IDN, ITA, PAK, PER, VEN"
Asini Corii Colla,CHN
Sodium ferulate,CHN
Harpagophytum spp.,"LVA, PRI, SGP, USA, ZAF"
Girardinia diversifolia leaf,CHN
Levmetamfetamine,USA
Sodium dehydrocholate,"ARE, BGD, BRA, BWA, CHE, CZE, DEU, EGY, FRA, ITA, JOR, JPN, KWT, LBN, PER, PRT, TUN, TWN, USA"
Denotivir,POL
Thermobacteria helveticus,DEU
Phenoxymethylpenicillin hydrabamine,"AUS, USA"
Cynanchum stauntonii,CHN
Sasa kurilensis extract,
Ceftolozane sulfate,"ARE, ARG, AUS, AUT, BRA, CAN, CHE, COL, CZE, DEU, DOM, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IRL, ITA, JOR, JPN, KOR, KWT, LBN, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, USA"
Viscum album powder,DEU
Butriptyline,
Fenalcomine,FRA
7-Aminocephalosporanic acid,
Apatorsen,
Lithospermum arvense herb,
CV 8102,
Quinethazone,"ARE, AUS, FIN, GBR, ITA, JPN, SWE, USA"
Morclofone,"CHE, MEX"
Acetohydroxamic acid,"BEL, CHN, ESP, FRA, PRI, USA"
Fusidate sodium,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, ZAF, ZMB"
Polydecene,
Butetamate,ARG
Neratinib maleate,"AUS, PRI, USA"
Ranagengliotucel-T,
Candida albicans,"CHE, CZE, MEX, USA"
Fetoxilate,
Physochlaina infundibularis root,CHN
